site_name,lon,lat,stream_threshold,burn_streams,lon_snapped,lat_snapped
CW-S-06,-133.26308,68.26080,1000,TRUE,NA,NA
CW-S-07,-133.49118,68.08668,1000,TRUE,NA,NA
CW-S-08,-133.69424,67.84236,1000,TRUE,NA,NA
BNWT1,-133.66695,67.85839,500,TRUE,NA,NA
BNWT2,-133.62755,67.87995,500,TRUE,NA,NA
Km43,-138.47700,64.30100,1000,TRUE,NA,NA
Km44,-138.47300,64.31000,1000,TRUE,NA,NA
Km47,-138.44700,64.33400,1000,TRUE,NA,NA
Km69-5,-138.20600,64.48900,1000,TRUE,NA,NA
Km185,-138.22500,65.28800,1000,TRUE,NA,NA
U01,-66.13483225,48.77769603,1000,TRUE,NA,NA
U02,-65.95554781,48.84714641,1000,TRUE,NA,NA
U03,-65.82999172,48.87196147,1000,TRUE,NA,NA
C04,-66.10337881,48.52289617,1000,TRUE,NA,NA
C05,-65.87184410,48.53412982,1000,TRUE,NA,NA
C06,-65.78111336,48.55861841,1000,TRUE,NA,NA
C07,-65.76315142,48.58631372,1000,TRUE,NA,NA
L08,-65.61372834,48.40597698,1000,TRUE,NA,NA
L09,-65.72123790,48.30161709,1000,TRUE,NA,NA
L10,-65.67445472,48.28311055,1000,TRUE,NA,NA
L11,-65.54432336,48.31098102,1000,TRUE,NA,NA
L12,-65.54230006,48.31115015,1000,TRUE,NA,NA
PHPP05,-102.17277,52.39034,1000,FALSE,NA,NA
PHPP06,-102.18974,52.37478,1000,FALSE,NA,NA
HB1,-57.901861,49.088413,1000,TRUE,NA,NA
PA1,-57.566861,49.007639,1000,TRUE,NA,NA
LS1,-57.946887,48.859666,1000,TRUE,NA,NA
